Sample	Lineage
HCOV-19_ENGLAND_20200401_EPI_ISL_432579	B.2
HCOV-19_ENGLAND_20200401_EPI_ISL_432727	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_432732	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_432744	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_432812	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_432859	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_432861	B.2
HCOV-19_ENGLAND_20200401_EPI_ISL_432979	B.2
HCOV-19_ENGLAND_20200401_EPI_ISL_432984	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_432988	B.2
HCOV-19_ENGLAND_20200401_EPI_ISL_432990	B.2
HCOV-19_ENGLAND_20200401_EPI_ISL_432992	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_433684	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_433689	B.1
HCOV-19_ENGLAND_20200401_EPI_ISL_433691	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_432630	B.2
HCOV-19_ENGLAND_20200402_EPI_ISL_432998	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433000	B.2
HCOV-19_ENGLAND_20200402_EPI_ISL_433002	B.2
HCOV-19_ENGLAND_20200402_EPI_ISL_433012	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433016	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433676	B.2
HCOV-19_ENGLAND_20200402_EPI_ISL_433677	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433679	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433681	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433682	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433683	B.1
HCOV-19_ENGLAND_20200402_EPI_ISL_433695	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_423588	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_432541	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_432836	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_432850	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_433666	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_433669	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_433671	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_433674	B.1
HCOV-19_ENGLAND_20200403_EPI_ISL_433722	B.2
HCOV-19_ENGLAND_20200403_EPI_ISL_433748	B.2
HCOV-19_ENGLAND_20200404_EPI_ISL_433049	B.3
HCOV-19_ENGLAND_20200404_EPI_ISL_433711	B.1
HCOV-19_ENGLAND_20200404_EPI_ISL_433717	B.1
HCOV-19_ENGLAND_20200404_EPI_ISL_433735	B.1
HCOV-19_ENGLAND_20200404_EPI_ISL_433737	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_432675	B.2
HCOV-19_ENGLAND_20200405_EPI_ISL_433066	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433707	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433712	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433728	B.2
HCOV-19_ENGLAND_20200405_EPI_ISL_433732	B.2
HCOV-19_ENGLAND_20200405_EPI_ISL_433734	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433745	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433750	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433752	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433757	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433758	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433764	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433765	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433770	B.1
HCOV-19_ENGLAND_20200405_EPI_ISL_433771	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433738	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433755	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433759	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433767	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433768	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433781	B.2
HCOV-19_ENGLAND_20200406_EPI_ISL_433782	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433783	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433785	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433787	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433793	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433794	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433800	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433801	B.2
HCOV-19_ENGLAND_20200406_EPI_ISL_433806	B.2
HCOV-19_ENGLAND_20200406_EPI_ISL_433808	B.2
HCOV-19_ENGLAND_20200406_EPI_ISL_433810	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433811	B.1
HCOV-19_ENGLAND_20200406_EPI_ISL_433862	B.9
HCOV-19_ENGLAND_20200407_EPI_ISL_432722	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433776	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433778	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433786	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433790	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433795	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433796	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433803	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433805	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433809	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433828	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433834	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433835	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433837	B.2
HCOV-19_ENGLAND_20200407_EPI_ISL_433839	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433840	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433844	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433847	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433849	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433861	B.1
HCOV-19_ENGLAND_20200407_EPI_ISL_433870	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_432706	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433772	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433779	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433791	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433826	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433827	B.2
HCOV-19_ENGLAND_20200408_EPI_ISL_433829	B.2
HCOV-19_ENGLAND_20200408_EPI_ISL_433833	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433843	B.2
HCOV-19_ENGLAND_20200408_EPI_ISL_433852	B.11
HCOV-19_ENGLAND_20200408_EPI_ISL_433854	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433855	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433856	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433857	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433858	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433859	B.2
HCOV-19_ENGLAND_20200408_EPI_ISL_433860	B.3
HCOV-19_ENGLAND_20200408_EPI_ISL_433865	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433866	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433868	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433872	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433875	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433876	B.1
HCOV-19_ENGLAND_20200408_EPI_ISL_433882	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433851	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433864	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433877	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433878	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433883	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433885	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433886	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433888	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433890	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433891	B.1
HCOV-19_ENGLAND_20200409_EPI_ISL_433902	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433893	B.2
HCOV-19_ENGLAND_20200410_EPI_ISL_433895	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433898	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433899	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433900	B.2
HCOV-19_ENGLAND_20200410_EPI_ISL_433904	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433918	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433926	B.1
HCOV-19_ENGLAND_20200410_EPI_ISL_433936	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433906	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433907	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433909	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433910	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433911	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433913	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433914	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433920	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433923	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433927	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433928	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433933	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433934	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433939	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433942	B.2
HCOV-19_ENGLAND_20200411_EPI_ISL_433948	B.1
HCOV-19_ENGLAND_20200411_EPI_ISL_433959	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433931	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433935	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433938	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433940	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433944	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433945	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433949	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433951	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433952	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433954	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433957	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433963	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433965	B.2
HCOV-19_ENGLAND_20200412_EPI_ISL_433966	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433967	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433968	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_433969	B.1
HCOV-19_ENGLAND_20200412_EPI_ISL_434002	B.2
HCOV-19_ENGLAND_20200413_EPI_ISL_433953	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433956	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433958	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433970	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433971	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433975	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433976	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_433999	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_434001	B.1
HCOV-19_ENGLAND_20200413_EPI_ISL_434035	B.1
HCOV-19_ENGLAND_20200414_EPI_ISL_434013	B.2
HCOV-19_ENGLAND_20200414_EPI_ISL_434021	B.1
HCOV-19_ENGLAND_20200414_EPI_ISL_434022	B.1
HCOV-19_ENGLAND_20200414_EPI_ISL_434029	B.1
HCOV-19_ENGLAND_20200414_EPI_ISL_434032	B.3
HCOV-19_ENGLAND_20200414_EPI_ISL_434034	B.1
HCOV-19_ENGLAND_20200414_EPI_ISL_434036	B.1
HCOV-19_ENGLAND_20200414_EPI_ISL_434038	B.1
HCOV-19_ENGLAND_20200415_EPI_ISL_432762	B.1
HCOV-19_ENGLAND_20200415_EPI_ISL_434020	B.1
HCOV-19_ENGLAND_20200415_EPI_ISL_434024	B.1
HCOV-19_ENGLAND_20200415_EPI_ISL_434054	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433472	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433487	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433489	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433490	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433491	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433493	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433494	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433495	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433496	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_433497	B.2
HCOV-19_ENGLAND_20200416_EPI_ISL_434041	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_434045	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_434047	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_434049	B.1
HCOV-19_ENGLAND_20200416_EPI_ISL_434051	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433467	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433469	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433470	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433471	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433480	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433481	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433482	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433483	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433484	B.1
HCOV-19_ENGLAND_20200417_EPI_ISL_433485	B.1
HCOV-19_ENGLAND_20200418_EPI_ISL_433478	B.2
HCOV-19_ENV_20200101_EPI_ISL_408515	B.11
HCOV-19_ESTONIA_202003_EPI_ISL_420540	B.1
HCOV-19_FINLAND_20200303_EPI_ISL_413602	B.1
HCOV-19_FINLAND_20200305_EPI_ISL_414641	B.1
HCOV-19_FINLAND_20200313_EPI_ISL_418390	B.1
HCOV-19_FINLAND_20200313_EPI_ISL_418395	B.1
HCOV-19_FINLAND_20200314_EPI_ISL_418401	B.1
HCOV-19_FINLAND_20200314_EPI_ISL_418402	B.1
HCOV-19_FINLAND_20200314_EPI_ISL_418403	B.1
HCOV-19_FINLAND_20200314_EPI_ISL_418410	B.1
HCOV-19_FINLAND_20200314_EPI_ISL_418411	B.11
HCOV-19_FOSHAN_20200122_EPI_ISL_406534	B.11
HCOV-19_FOSHAN_20200122_EPI_ISL_406535	B.11
HCOV-19_FRANCE_20200123_EPI_ISL_406596	B.2
HCOV-19_FRANCE_20200129_EPI_ISL_408431	B.11
HCOV-19_FRANCE_20200202_EPI_ISL_411218	B.11
HCOV-19_FRANCE_20200226_EPI_ISL_414600	A.2
HCOV-19_FRANCE_20200226_EPI_ISL_414624	B.1
HCOV-19_FRANCE_20200226_EPI_ISL_414625	B.1
HCOV-19_FRANCE_20200226_EPI_ISL_416502	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434616	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434617	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434618	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434619	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434620	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434621	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434622	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434624	B.1
HCOV-19_FRANCE_202003_EPI_ISL_434625	B.1
HCOV-19_FRANCE_20200301_EPI_ISL_416503	B.2
HCOV-19_FRANCE_20200303_EPI_ISL_414629	B.1
HCOV-19_FRANCE_20200303_EPI_ISL_414630	B.1
HCOV-19_FRANCE_20200303_EPI_ISL_416746	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_414632	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_414634	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_414635	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_414636	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_414638	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_416748	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_416752	B.1
HCOV-19_FRANCE_20200304_EPI_ISL_418222	B.1
HCOV-19_FRANCE_20200305_EPI_ISL_415649	B.1
HCOV-19_FRANCE_20200305_EPI_ISL_415652	B.1
HCOV-19_FRANCE_20200305_EPI_ISL_416507	B.2
HCOV-19_FRANCE_20200305_EPI_ISL_416751	B.1
HCOV-19_FRANCE_20200306_EPI_ISL_416509	B.1
HCOV-19_FRANCE_20200306_EPI_ISL_416750	B.1
HCOV-19_FRANCE_20200306_EPI_ISL_417335	B.11
HCOV-19_FRANCE_20200307_EPI_ISL_416511	B.1
HCOV-19_FRANCE_20200307_EPI_ISL_416512	B.1
HCOV-19_FRANCE_20200307_EPI_ISL_416757	B.1
HCOV-19_FRANCE_20200307_EPI_ISL_417337	B.1
HCOV-19_FRANCE_20200307_EPI_ISL_417338	B.1
HCOV-19_FRANCE_20200307_EPI_ISL_417340	B.1
HCOV-19_FRANCE_20200308_EPI_ISL_416758	B.1
HCOV-19_FRANCE_20200308_EPI_ISL_418225	B.1
HCOV-19_FRANCE_20200309_EPI_ISL_415654	B.1
HCOV-19_FRANCE_20200310_EPI_ISL_416495	B.1
HCOV-19_FRANCE_20200310_EPI_ISL_416496	B.1
HCOV-19_FRANCE_20200310_EPI_ISL_416745	B.1
HCOV-19_FRANCE_20200311_EPI_ISL_416499	B.1
HCOV-19_FRANCE_20200311_EPI_ISL_421500	B.1
HCOV-19_FRANCE_20200311_EPI_ISL_428355	B.1
HCOV-19_FRANCE_20200312_EPI_ISL_418228	B.1
HCOV-19_FRANCE_20200312_EPI_ISL_421502	B.1
HCOV-19_FRANCE_20200312_EPI_ISL_421503	B.1
HCOV-19_FRANCE_20200314_EPI_ISL_418234	B.1
HCOV-19_FRANCE_20200314_EPI_ISL_421504	B.1
HCOV-19_FRANCE_20200315_EPI_ISL_418231	B.1
HCOV-19_FRANCE_20200315_EPI_ISL_418412	B.1
HCOV-19_FRANCE_20200315_EPI_ISL_418413	B.1
HCOV-19_FRANCE_20200315_EPI_ISL_418414	B.1
HCOV-19_FRANCE_20200315_EPI_ISL_421505	B.1
HCOV-19_FRANCE_20200316_EPI_ISL_418235	B.1
HCOV-19_FRANCE_20200316_EPI_ISL_418236	B.1
HCOV-19_FRANCE_20200316_EPI_ISL_418237	B.1
HCOV-19_FRANCE_20200316_EPI_ISL_418416	B.1
HCOV-19_FRANCE_20200316_EPI_ISL_418417	B.1
HCOV-19_FRANCE_20200316_EPI_ISL_418418	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_418420	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_418422	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_418423	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_418424	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_418425	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_418428	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_420038	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_420045	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_420046	B.1
HCOV-19_FRANCE_20200317_EPI_ISL_420055	B.1
HCOV-19_FRANCE_20200318_EPI_ISL_418429	B.1
HCOV-19_FRANCE_20200318_EPI_ISL_418430	B.1
HCOV-19_FRANCE_20200318_EPI_ISL_418432	B.2
HCOV-19_FRANCE_20200318_EPI_ISL_420048	B.1
HCOV-19_FRANCE_20200319_EPI_ISL_420049	B.1
HCOV-19_FRANCE_20200319_EPI_ISL_420050	B.1
HCOV-19_FRANCE_20200319_EPI_ISL_420051	B.1
HCOV-19_FRANCE_20200320_EPI_ISL_420052	B.1
HCOV-19_FRANCE_20200320_EPI_ISL_420060	B.1
HCOV-19_FRANCE_20200320_EPI_ISL_421514	B.1
HCOV-19_FRANCE_20200320_EPI_ISL_428348	B.1
HCOV-19_FRANCE_20200321_EPI_ISL_419169	B.1
HCOV-19_FRANCE_20200321_EPI_ISL_419171	B.1
HCOV-19_FRANCE_20200321_EPI_ISL_419176	B.1
HCOV-19_FRANCE_20200321_EPI_ISL_420059	B.1
HCOV-19_FRANCE_20200321_EPI_ISL_421506	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419177	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419179	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419180	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419184	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419185	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419186	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419187	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_419188	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_420056	B.1
HCOV-19_FRANCE_20200322_EPI_ISL_420057	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420061	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420064	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420604	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420607	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420610	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420615	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420616	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420618	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_420619	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_421507	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_421509	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_421511	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_421513	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_428349	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_428359	B.1
HCOV-19_FRANCE_20200323_EPI_ISL_428367	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_420621	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_420623	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_420625	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_428350	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_428351	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_428353	B.1
HCOV-19_FRANCE_20200324_EPI_ISL_428358	B.1
HCOV-19_FRANCE_20200325_EPI_ISL_428354	B.1
HCOV-19_FRANCE_20200325_EPI_ISL_428361	B.1
HCOV-19_FRANCE_20200326_EPI_ISL_428365	B.1
HCOV-19_FRANCE_20200326_EPI_ISL_434626	B.1
HCOV-19_FRANCE_20200326_EPI_ISL_434627	B.1
HCOV-19_FRANCE_20200330_EPI_ISL_428366	B.1
HCOV-19_FRANCE_20200407_EPI_ISL_434628	B.1
HCOV-19_FRANCE_20200408_EPI_ISL_434630	B.1
HCOV-19_FRANCE_20200408_EPI_ISL_434631	B.1
HCOV-19_FRANCE_20200409_EPI_ISL_434632	B.1
HCOV-19_FRANCE_20200411_EPI_ISL_434634	B.1
HCOV-19_FRANCE_20200411_EPI_ISL_434635	B.1
HCOV-19_FUJIAN_20200121_EPI_ISL_411060	A
HCOV-19_FUJIAN_20200123_EPI_ISL_431785	A
HCOV-19_FUJIAN_20200313_EPI_ISL_431118	B.1
HCOV-19_FUJIAN_20200316_EPI_ISL_431240	B.1
HCOV-19_FUJIAN_20200319_EPI_ISL_431783	B.6
HCOV-19_FUJIAN_20200322_EPI_ISL_431782	B.1
HCOV-19_FUYANG_20200310_EPI_ISL_424352	B.2
HCOV-19_GAMBIA_20200317_EPI_ISL_428855	B.1
HCOV-19_GEORGIA_20200227_EPI_ISL_415641	B.2
HCOV-19_GEORGIA_20200308_EPI_ISL_416477	A.2
HCOV-19_GEORGIA_20200310_EPI_ISL_415643	B.2
HCOV-19_GEORGIA_20200311_EPI_ISL_416480	B.2
HCOV-19_GEORGIA_20200314_EPI_ISL_416478	B.1
HCOV-19_GEORGIA_20200328_EPI_ISL_420140	B.1
HCOV-19_GEORGIA_20200330_EPI_ISL_420142	B
HCOV-19_GERMANY_20200225_EPI_ISL_414497	B.3
HCOV-19_GERMANY_20200226_EPI_ISL_414499	B.3
HCOV-19_GERMANY_20200228_EPI_ISL_414509	B.3
HCOV-19_GERMANY_20200302_EPI_ISL_414520	B.4
HCOV-19_GERMANY_20200302_EPI_ISL_414521	A
HCOV-19_GERMANY_20200311_EPI_ISL_419531	B.3
HCOV-19_GERMANY_20200311_EPI_ISL_419532	B.11
HCOV-19_GERMANY_20200311_EPI_ISL_420899	B.1
HCOV-19_GERMANY_20200312_EPI_ISL_420901	B.1
HCOV-19_GERMANY_20200314_EPI_ISL_419541	B.1
HCOV-19_GERMANY_20200314_EPI_ISL_420903	B.2
HCOV-19_GERMANY_20200315_EPI_ISL_419542	B.1
HCOV-19_GERMANY_20200315_EPI_ISL_419544	B.1
HCOV-19_GERMANY_20200315_EPI_ISL_419545	B.1
HCOV-19_GERMANY_20200315_EPI_ISL_419546	B.1
HCOV-19_GERMANY_20200315_EPI_ISL_419548	B.1
HCOV-19_GERMANY_20200316_EPI_ISL_419550	B.1
HCOV-19_GERMANY_20200316_EPI_ISL_419551	B.1
HCOV-19_GERMANY_20200316_EPI_ISL_419552	B.2
HCOV-19_GERMANY_20200316_EPI_ISL_420906	B.1
HCOV-19_GERMANY_20200317_EPI_ISL_425123	A.5
HCOV-19_GERMANY_20200319_EPI_ISL_425139	B.1
HCOV-19_GERMANY_20200320_EPI_ISL_425131	B.1
HCOV-19_GERMANY_20200321_EPI_ISL_425130	B.4
HCOV-19_GREECE_20200309_EPI_ISL_434455	B.1
HCOV-19_GREECE_20200311_EPI_ISL_434473	B.1
HCOV-19_GREECE_20200311_EPI_ISL_434474	B.1
HCOV-19_GREECE_20200312_EPI_ISL_434467	B.1
HCOV-19_GREECE_20200312_EPI_ISL_434485	B.2
HCOV-19_GREECE_20200316_EPI_ISL_434464	A.5
HCOV-19_GREECE_20200318_EPI_ISL_418263	B.1
HCOV-19_GREECE_20200318_EPI_ISL_418264	B.1
HCOV-19_GREECE_20200318_EPI_ISL_418265	A.2
HCOV-19_GREECE_20200318_EPI_ISL_427043	B.1
HCOV-19_GREECE_20200323_EPI_ISL_434460	B.1
HCOV-19_GREECE_20200323_EPI_ISL_434462	B.2
HCOV-19_GREECE_20200326_EPI_ISL_434468	B.1
HCOV-19_GREECE_20200328_EPI_ISL_434457	B.1
HCOV-19_GREECE_20200329_EPI_ISL_434461	B.1
